time,BatteryUnit.battery1,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery2,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery3,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery4,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery5,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg1a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg2a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg3a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg3c,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg4a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg4c,decarbonization-app,profit_cvr-app,resilience-app
1,-125000.0,-125000.0,125000.0,125000.0,-200000.0,-200000.0,0.0,200000.0,-100000.0,-100000.0,0.0,100000.0,-150000.0,-150000.0,0.0,150000.0,-250000.0,-250000.0,0.0,250000.0,5,6,3,0,2,-12,-1,2,5,-12,0,6,-2,-10,0,-5,5,3,0,3,1,-9,1,-1
2,-125000.0,-125000.0,27316.964,125000.0,-200000.0,-200000.0,-4.6414067e-11,200000.0,-100000.0,-100000.0,-8.817836e-27,100000.0,-150000.0,-150000.0,-1.3517821e-26,150000.0,-250000.0,-250000.0,0.0,250000.0,5,7,-2,1,8,-13,9,10,7,-13,7,5,-8,-11,10,9,7,2,9,3,7,-10,13,-2
3,-125000.0,-125000.0,125000.0,125000.0,-2480.0,-2480.0,0.0,200000.0,-1240.0,-1240.0,0.0,100000.0,-150000.0,-150000.0,0.0,150000.0,-250000.0,-250000.0,0.0,250000.0,7,7,4,7,5,-13,-1,2,3,-13,-1,-2,-12,-12,-1,-7,3,1,1,3,5,-10,0,-2
4,-125000.0,-125000.0,-125000.0,125000.0,0.0,0.0,192058.78,200000.0,0.0,0.0,11000.113,100000.0,-150000.0,-150000.0,29260.446,150000.0,-130425.0,-130425.0,-84404.125,250000.0,7,7,-4,6,3,-13,-1,3,3,-12,1,3,-12,-12,-3,-5,6,3,1,8,1,-10,-1,1
5,-125000.0,-125000.0,-5.2269029e-09,125000.0,0.0,0.0,191032.39,200000.0,0.0,0.0,21678.016,100000.0,-150000.0,-150000.0,-69684.891,150000.0,0.0,0.0,0.0,250000.0,6,6,-3,1,2,-11,-2,2,1,-11,0,1,-11,-11,-1,9,9,5,1,9,4,-8,0,6
6,-45800.0,-45800.0,125000.0,125000.0,100000.0,0.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,-150000.0,-150000.0,1.0138366e-26,150000.0,0.0,0.0,191401.58,250000.0,7,7,-1,2,1,-12,1,-1,2,-11,2,1,-11,-11,-1,8,8,4,1,8,4,-9,0,1
7,0.0,0.0,47237.24,125000.0,-70308.2,-70308.2,200000.0,200000.0,-2.7666266e-11,0.0,-2.7666266e-11,100000.0,-22350.0,-22350.0,-19400.014,150000.0,0.0,0.0,0.0,250000.0,7,7,-3,1,5,-12,1,8,3,-11,3,1,-11,-11,1,9,8,4,1,14,2,-10,1,2
8,0.0,0.0,13295.35,125000.0,-0.025,-0.025,200000.0,200000.0,0.0,0.0,57680.808,100000.0,-3.1644002e-11,0.0,-3.1644002e-11,150000.0,0.0,0.0,52936.965,250000.0,7,7,-3,0,6,-12,7,4,6,-11,14,4,-12,-12,4,1,8,5,6,15,2,-10,2,1
9,0.0,0.0,125000.0,125000.0,0.0,0.0,89166.029,200000.0,0.0,0.0,87873.07,100000.0,0.0,0.0,0.0,150000.0,0.0,0.0,69465.44,250000.0,7,7,-2,2,5,-12,1,-1,8,-11,6,5,-12,-12,-3,2,8,4,0,11,3,-10,-1,3
10,0.0,0.0,16105.385,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,85365.867,100000.0,0.0,0.0,2.4499962e-11,150000.0,0.0,0.0,0.0,250000.0,7,7,-3,3,1,-12,1,1,5,-11,-1,5,-12,-12,0,2,8,4,0,11,-1,-10,-1,-3
11,0.0,0.0,0.0,125000.0,0.0,0.0,66097.861,200000.0,0.0,0.0,21503.21,100000.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,250000.0,7,7,-4,3,7,-12,6,7,7,-11,10,5,-12,-12,4,2,8,4,3,11,3,-11,3,2
12,0.0,0.0,38865.608,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,86535.455,100000.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,250000.0,6,6,-3,2,9,-11,1,9,8,-10,-1,5,-11,-11,0,2,9,5,0,11,1,-10,-1,-2
13,0.0,0.0,0.0,125000.0,0.0,0.0,135159.34,200000.0,0.0,0.0,35549.059,100000.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,250000.0,6,6,-4,1,7,-11,3,7,5,-10,3,5,-11,-11,4,2,9,5,3,11,7,-10,3,7
14,0.0,0.0,38865.608,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,86535.455,100000.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,250000.0,6,6,-3,2,9,-11,1,9,5,-10,-1,5,-11,-11,0,2,9,5,0,11,1,-10,-1,-2
15,0.0,0.0,16105.385,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,85365.867,100000.0,0.0,0.0,2.4499962e-11,150000.0,0.0,0.0,0.0,250000.0,6,7,-3,3,3,-12,1,1,5,-11,-1,5,-12,-12,0,2,9,4,0,11,-1,-10,-1,-3
