time,solver,failed,BatteryUnit.battery1,BatteryUnit.battery2,BatteryUnit.battery3,BatteryUnit.battery4,BatteryUnit.battery5,RatioTapChanger.reg1a,RatioTapChanger.reg2a,RatioTapChanger.reg3a,RatioTapChanger.reg3c,RatioTapChanger.reg4a,RatioTapChanger.reg4c
1,0.08396801199705806,False,-125000.0,-200000.0,-100000.0,-150000.0,-250000.0,5,2,5,-2,5,1
2,0.0860823629918741,False,-125000.0,-200000.0,-100000.0,-150000.0,-250000.0,5,8,7,-8,7,7
3,0.05500134199974127,False,-125000.0,-2480.0,-1240.0,-150000.0,-250000.0,7,5,3,-12,3,5
4,0.08140505000483245,False,-125000.0,0.0,0.0,-150000.0,-130425.0,7,3,3,-12,6,1
5,0.08225109599879943,False,-125000.0,0.0,0.0,-150000.0,0.0,6,2,1,-11,9,4
6,0.062095967994537205,False,-45800.0,100000.0,0.0,-150000.0,0.0,7,1,2,-11,8,4
7,0.08650285299518146,False,0.0,-70308.2,-2.7666266e-11,-22350.0,0.0,7,5,3,-11,8,2
8,0.0908979560044827,False,0.0,-0.025,0.0,-3.1644002e-11,0.0,7,6,6,-12,8,2
9,0.07549822500732262,False,0.0,0.0,0.0,0.0,0.0,7,5,8,-12,8,3
10,0.07672603100945707,False,0.0,0.0,0.0,0.0,0.0,7,1,5,-12,8,-1
11,0.08646829199278727,False,0.0,0.0,0.0,0.0,0.0,7,7,7,-12,8,3
12,0.07800695899641141,False,0.0,0.0,0.0,0.0,0.0,6,9,8,-11,9,1
13,0.08070530901022721,False,0.0,0.0,0.0,0.0,0.0,6,7,5,-11,9,7
14,0.07553311699302867,False,0.0,0.0,0.0,0.0,0.0,6,9,5,-11,9,1
15,0.07508661600877531,False,0.0,0.0,0.0,0.0,0.0,6,3,5,-12,9,-1
16,0.08338378400367219,False,0.0,0.0,0.0,0.0,0.0,6,7,5,-11,9,5
17,0.07072534400504082,False,0.0,0.0,0.0,0.0,0.0,6,5,5,-9,9,5
18,0.07700738799758255,False,62500.0,0.0,0.0,0.0,0.0,6,-1,6,-12,9,3
19,0.0746244129986735,False,82764.35,0.0,0.0,0.0,0.0,6,4,8,-12,9,1
20,0.07543642200471368,False,125000.0,0.0,0.0,0.0,0.0,6,4,6,-12,9,7
21,0.07355431700125337,False,125000.0,0.0,0.0,0.0,0.0,6,4,4,-12,9,5
22,0.07330396199540701,False,125000.0,0.0,0.0,1153.6805,-2.2150435e-11,6,8,7,-12,9,8
23,0.06282542899134569,False,0.0,0.0,0.0,-811.132,0.0,6,7,3,-12,8,6
24,0.08337935799499974,False,-62500.0,0.0,0.0,-0.000281736,0.0,6,10,9,-13,8,2
25,0.07333669799845666,False,-62500.0,0.0,0.0,0.0,0.0,6,5,4,-13,8,3
26,0.07737413900031243,False,0.0,0.0,0.0,0.0,0.0,6,4,4,-12,8,3
27,0.07585051099886186,False,0.0,0.0,0.0,0.0,0.0,6,4,4,-13,8,3
28,0.0775025639886735,False,-62500.0,0.0,0.0,0.0,0.0,6,5,4,-13,8,3
29,0.07594950600469019,False,0.0,0.0,0.0,0.0,0.0,6,4,4,-13,8,3
30,0.07256134500494227,False,0.0,0.0,0.0,0.0,0.0,6,4,4,-11,8,3
31,0.07113859799574129,True,0.0,0.0,0.0,0.0,0.0,6,4,4,-13,8,3
32,0.07642935500189196,False,0.0,49999.99999999994,0.0,0.0,0.0,6,10,10,-11,8,3
33,0.05898026601062156,False,0.0,141211.475,0.0,0.0,0.0,6,8,8,-12,6,2
34,0.072671675006859,False,-125000.0,32781.5,0.0,0.0,0.0,6,2,2,-12,7,2
35,0.09130126400850713,False,-53288.6,-68113.75,0.0,0.0,0.0,5,8,8,-12,7,2
36,0.07193545500922482,False,-0.0297927,-17028.774999999994,0.0,0.0,0.0,5,6,2,-12,8,2
37,0.07831273699412122,False,0.0,-4257.25,0.0,9554.32,51523.85,6,0,4,-8,4,-3
38,0.08806632799678482,False,0.0,17384.6,0.0,0.0,14037.4,7,1,2,-11,2,-5
39,0.08433703999617137,False,0.0,139768.0,0.0,0.0,0.0,7,0,2,-13,2,0
40,0.08239989500725642,False,102159.0,174386.0,25000.0,0.0,100710.0,6,0,5,-13,5,0
41,0.07384976299363188,False,0.0,200000.0,100000.0,0.0,250000.0,5,4,1,-12,7,-1
42,0.08988264200161211,False,125000.0,200000.0,100000.0,150000.0,250000.0,5,0,1,-8,9,-1
43,0.08608143500168808,False,125000.0,200000.0,100000.0,37500.0,250000.0,6,0,1,-2,4,-1
44,0.07360164499550592,False,125000.0,200000.0,-49984.899,51315.982,-152155.74,6,-1,1,2,3,-5
45,0.08717595599591732,False,-19271.78,200000.0,100000.0,-12117.4905,153445.56,5,-2,7,8,4,-1
46,0.07588582699827384,True,74145.418,200000.0,100000.0,0.0,153445.56,5,4,1,9,3,-2
47,0.07564254000317305,False,-26972.786,200000.0,31634.989,150000.0,52371.414,6,4,6,3,3,-4
48,0.0807235879910877,False,-108646.37,175200.08000000002,30426.095,119029.91,155218.36,5,6,2,4,3,-4
49,0.07963158299389761,False,0.0,0.2401660025,100000.0,150000.0,250000.0,3,4,3,7,4,-4
50,0.09531180300109554,False,-99984.866,-3.7131253e-11,-96760.177,150000.0,250000.0,4,2,2,7,4,-4
51,0.06786118900345173,False,2.8887891e-10,-3.8751514e-11,-100000.0,150000.0,209541.07,3,0,0,9,3,-6
52,0.08138343099562917,False,-120785.64,0.0,-266.27232,64208.55,58175.49535,3,0,3,5,6,-7
53,0.08429102500667796,False,-11950.909,0.0,-76743.06,150000.0,68346.665,2,0,0,6,6,-3
