time,BatteryUnit.battery1,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery2,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery3,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery4,decarbonization-app,profit_cvr-app,resilience-app,BatteryUnit.battery5,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg1a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg2a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg3a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg3c,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg4a,decarbonization-app,profit_cvr-app,resilience-app,RatioTapChanger.reg4c,decarbonization-app,profit_cvr-app,resilience-app
1,-125000.0,-125000.0,125000.0,125000.0,-100000.0,-200000.0,0.0,200000.0,-100000.0,-100000.0,0.0,100000.0,-150000.0,-150000.0,0.0,150000.0,-250000.0,-250000.0,0.0,250000.0,5,6,3,0,2,-12,-1,2,5,-12,0,6,0,-10,0,-5,5,3,0,3,1,-9,1,-1
2,-125000.0,-125000.0,27316.964,125000.0,0.0,-200000.0,-4.6414067e-11,200000.0,-100000.0,-100000.0,-8.817836e-27,100000.0,-150000.0,-150000.0,-1.3517821e-26,150000.0,-250000.0,-250000.0,0.0,250000.0,6,7,-2,0,8,-13,9,2,9,-13,7,14,6,-11,10,-1,6,2,9,3,7,-10,13,-2
3,-125000.0,-125000.0,125000.0,125000.0,0.0,-200000.0,0.0,200000.0,-1240.0,-1240.0,0.0,100000.0,-150000.0,-150000.0,0.0,150000.0,-250000.0,-250000.0,0.0,250000.0,6,7,0,0,9,-13,-1,10,9,-13,0,14,4,-11,-1,1,3,1,0,3,3,-10,0,-2
4,-125000.0,-125000.0,107554.21,125000.0,0.0,-200000.0,0.0,200000.0,0.0,0.0,0.0,100000.0,-150000.0,-150000.0,-1.3517821e-26,150000.0,-250000.0,-130425.0,-111343.74,250000.0,6,6,-4,1,9,-12,10,2,8,-12,15,2,6,-10,15,2,5,3,10,7,3,-8,3,0
5,-125000.0,-125000.0,125000.0,125000.0,-100000.0,-200000.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,-150000.0,-150000.0,0.0,150000.0,-250000.0,0.0,250000.0,250000.0,7,7,5,6,5,-12,1,3,5,-12,0,-3,4,-11,-1,4,4,3,1,8,-1,-8,0,1
6,-45800.0,-45800.0,125000.0,125000.0,-100000.0,-200000.0,200000.0,200000.0,0.0,0.0,100000.0,100000.0,-150000.0,-150000.0,0.0,150000.0,0.0,0.0,250000.0,250000.0,6,6,5,5,3,-12,-2,3,3,-11,0,3,5,-10,-1,5,7,4,1,8,1,-7,0,1
7,0.0,0.0,47237.24,125000.0,-26860.0,-102480.0,200000.0,200000.0,-2.7666266e-11,0.0,-2.7666266e-11,100000.0,-22350.0,-22350.0,-19400.014,150000.0,0.0,0.0,0.0,250000.0,6,7,-3,1,7,-12,1,8,3,-11,5,1,9,-11,2,9,8,4,1,14,2,-10,1,2
8,0.0,0.0,109606.51,125000.0,-75620.0,-75620.0,200000.0,200000.0,0.0,0.0,72183.034,100000.0,0.0,0.0,150000.0,150000.0,0.0,0.0,0.0,250000.0,6,7,-2,0,4,-12,0,4,4,-11,-1,4,3,-11,-4,1,8,4,1,15,3,-10,-3,3
9,0.0,0.0,125000.0,125000.0,0.0,0.0,89166.029,200000.0,0.0,0.0,87873.07,100000.0,0.0,0.0,0.0,150000.0,0.0,0.0,69465.44,250000.0,6,7,-2,2,1,-12,1,-1,6,-11,6,5,2,-12,-3,2,8,4,0,11,3,-10,-1,3
10,0.0,0.0,16105.385,125000.0,0.0,0.0,200000.0,200000.0,0.0,0.0,85365.867,100000.0,0.0,0.0,2.4499962e-11,150000.0,0.0,0.0,0.0,250000.0,6,7,-3,3,1,-12,1,1,5,-11,-1,5,2,-12,0,2,8,4,0,11,-1,-10,-1,-3
