time,profit,losses,emissions,battery charging
1,[135.4218909582406, 9.767963012446645, 694.1324683820784, -824.9999987243791]
2,[135.04123242114537, 10.11668245099754, 689.0151864390359, -825.0006226122847]
3,[123.74975759907842, 11.593343730944603, 1004.5336759278323, -528.7199985615878]
4,[120.86118854748668, 11.872208539865266, 1167.1480484279837, -402.4249991549644]
5,[127.23989342799472, 16.36675700117078, 1485.5410822619574, -269.49999994372337]
6,[114.82631258067522, 16.993472085265363, 1589.4416806293873, -92.29999989385723]
7,[109.94857693738929, 16.105366256332662, 1520.7935995831588, -88.90820007445387]
8,[110.95669211342882, 17.70584590316506, 1690.6133073492024, 4.749974996653998]
9,[103.5784004819986, 16.26199461375884, 1583.960191362051, 8.249999999482933]
10,[99.57547433499117, 15.444328463572692, 1522.956554831646, 8.249999995000824]
11,[98.10747757867001, 15.385661536952478, 1500.9765883705657, 8.250000004503747]
12,[98.35927643322559, 15.396701924409358, 1504.7482866703112, 8.24999999532722]
13,[97.2108285367671, 15.512956199459136, 1487.8163445737478, 8.250000004019702]
14,[98.31797533981288, 15.38696265455903, 1504.1167511138076, 8.24999999532804]
15,[99.12168632406657, 15.43930943079081, 1516.1790220947394, 8.249999927723932]
16,[96.88264261230002, 15.394199489746812, 1482.7308318226806, 8.249999999713049]
17,[94.00702929124624, 14.841033648419504, 1438.9628019293793, 8.250000003550133]
18,[88.80511034507826, 15.265728464261697, 1461.629598240963, 69.4999415361384]
19,[86.69110827022652, 15.393566274325527, 1463.2496028137086, 89.76437940196189]
20,[84.63262809020026, 16.585280109098257, 1503.1299190383772, 131.99977035927802]
21,[83.02024505986982, 16.26635473976559, 1478.5745520872645, 131.99975848314836]
22,[82.83111141129278, 16.246588655143732, 1471.0985938603728, 129.15366543584656]
23,[81.39421295001492, 13.02658795707429, 1244.2273908057275, 5.938862586992568]
24,[80.26706663579597, 11.925677130011069, 1123.3630106567864, -56.999995829998625]
25,[77.5589734567798, 11.609172309390345, 1084.9144920550527, -55.500025224565874]
26,[77.70031107762293, 11.193392073486143, 984.7233981240885, -118.00164462911798]
27,[75.46733418547657, 10.682209205168917, 965.6353028470472, -108.78899993466234]
28,[75.80993267223694, 12.159399325376286, 1163.3260146518464, 8.249999999465071]
29,[72.81984943969904, 12.106413773012289, 1118.578798835778, 8.249715831029324]
30,[75.22136521298732, 12.40078433782783, 1149.2538822611702, 4.750000971511175]
31,[71.9206991615396, 12.018314576678574, 1105.0334474473557, 8.249720199230936]
32,[65.76628888503834, 11.46668168461494, 1051.599187192745, 38.24999926270944]
33,[63.56289844101765, 9.533673556885528, 802.4543982328726, -16.47130019736982]
34,[63.172346002524726, 9.027693706181465, 725.8340878395142, 51.000014764582104]
35,[65.63030514277746, 8.082343431886553, 417.4775267383937, -28.904262316340226]
36,[66.08777331430846, 7.6988448327070635, 264.8199654974188, 6.249981115277254]
37,[65.77282790450788, 7.421275883012595, 123.79636123095047, 56.25000001325184]
38,[64.05325007160768, 9.187759909454112, 17.907007276787432, 153.87115623690056]
39,[56.65019041832725, 9.622808141535124, 47.260655037922305, 384.4515999178291]
40,[65.18365434854174, 11.06109288021911, -336.2667714638288, 206.25000092744034]
41,[64.51633295768522, 14.145701938061912, -479.0723621709658, 266.2787411793221]
42,[56.542235988458486, 14.608256654149985, -284.5965654911571, 588.7500006329005]
43,[56.14872007918547, 17.188708822387554, -364.7657998983637, 676.5000028879023]
44,[67.26937416525269, 22.913758922872926, -1004.5650264413005, 302.17899292847983]
45,[56.19751331652674, 22.0183892483315, -759.8081537445806, 676.5000005756715]
46,[59.13904755193272, 25.166752207184718, -1051.2676781114865, 579.3992233576017]
47,[64.11763959316279, 34.086438401053584, -1368.4450917013382, 440.6633169573314]
48,[66.52508292047467, 38.73332735302049, -1637.768063706651, 349.9615562620798]
49,[65.93233582985648, 44.05856905998991, -1874.165393978717, 304.9124432290332]
50,[70.50603855321701, 54.00335889019746, -2263.5555960759625, 93.89693235512546]
51,[59.551000584261615, 51.18048860188023, -2031.1278502895689, 422.16839910520866]
52,[72.51825700374926, 68.03506684091722, -2699.560026574789, -60.60932008243102]
53,[71.89829314087905, 72.44935756581519, -2820.3059127169704, -64.77480859525667]
54,[75.77946237807792, 79.95275603592526, -3054.2253400200975, -199.80361856465512]
55,[65.55167101441891, 74.20737946553021, -2766.7956465676384, 123.9372170088175]
56,[64.9944176418641, 73.1643650197621, -2705.802474930703, 191.94533300736663]
57,[71.47582805295923, 77.76356536001722, -2878.088850437754, 47.77849716332798]
58,[70.70167368080426, 80.04937200673737, -2872.9812166584484, 74.7714111965497]
59,[78.76241411202912, 95.91443548155368, -3184.4689370645883, -204.2067727611481]
60,[66.50732964571347, 67.04221013823512, -2478.003877124912, 352.81454401329006]
61,[61.355737163697256, 58.87045299528174, -2098.2786528879274, 627.0000268633852]
62,[73.4319389217351, 67.07712769802875, -2401.9778610360554, 290.29022574192766]
63,[71.83303110178973, 59.117009331053794, -2212.9402502797698, 393.69657407667887]
64,[86.83641116557908, 67.9052179815311, -2649.434938823777, -66.35366858979204]
65,[89.4762820190721, 65.16355165563347, -2535.893702940232, -70.98491184066603]
66,[89.78496259035862, 58.85527097084557, -2380.567837417539, -41.103815998890965]
67,[96.03956649993047, 59.29061590882836, -2370.738596592491, -172.2032791808681]
68,[94.21547429268726, 49.03708250539067, -2068.2119434168662, -51.67520102970671]
69,[97.09323752733161, 48.871775133152354, -1974.9365402986182, -105.38221710363581]
70,[86.01203250480712, 29.48412932989236, -1298.9845912985381, 332.79118068805036]
71,[89.19700007261861, 30.184036332159224, -1156.9329081600674, 285.42969912352527]
72,[103.06637059317224, 34.283444665523795, -1496.3150427503288, -162.07183352466006]
73,[91.50996656906443, 22.088754317587977, -804.6206812885757, 268.2180434721614]
74,[90.81920781954435, 19.648393170664967, -505.3247881750957, 331.5880060163089]
75,[95.11709903508802, 17.236454032253103, -422.0100102657531, 212.92335888256775]
76,[98.05246835975568, 14.514727665853211, -336.5604353912694, 106.38787956831437]
77,[97.456626309817, 12.81494756931971, 66.05081027811562, 218.03533794536565]
78,[108.58653895356485, 13.506576636885232, -50.142819574617214, -102.78229245041271]
79,[108.75329026284747, 8.956537430634313, 83.12160869702302, -165.00279965655474]
80,[108.29717130462132, 8.425330223098753, 86.95304589329955, -305.7750041810383]
81,[115.54784050080585, 10.516229680027207, 2.960166139814209, -555.0234184240552]
82,[115.68321270310629, 8.833510998889308, 88.35490777250999, -652.5783893416593]
83,[113.49845102027732, 8.139137033600027, 348.58161917606327, -605.9474053016745]
84,[129.96655574122138, 10.71154897729115, 815.4322905389392, -700.0000003154237]
85,[127.50719278162659, 10.595376366589884, 782.6363794157431, -698.7499989338116]
86,[133.03430311107755, 11.248110476614654, 870.7383807011955, -695.8919991033013]
87,[127.83287009138246, 11.375978470074674, 976.5126222092629, -583.2065994539753]
88,[120.73132252169668, 17.695337976585474, 1579.382995555506, -153.36640014571825]
89,[109.1694769654022, 17.268362406077728, 1665.695788798494, 6.249633135851219]
90,[114.02724112105795, 18.569166521041062, 1740.2288722103203, 6.249999983478663]
91,[107.32827447260875, 18.852848084686308, 1743.594739844906, 69.50005758062665]
92,[110.14286700721215, 18.948849091793946, 1750.014206994588, 47.52869994146986]
93,[112.25912064028711, 18.912319465604135, 1758.3466745188102, 33.28121701841831]
94,[113.56813689506272, 16.295197482869135, 1583.1715521080043, -83.91555511112415]
