time,profit,losses,emissions,battery charging
1,[135.46150601714697, 9.770493072160898, 694.7271542680528, -824.9999987067455]
2,[135.0412306183833, 10.117442586926304, 689.0161699004719, -825.000648445459]
3,[125.28833703849513, 11.998874940049312, 1028.1295276142903, -528.7199983919618]
4,[120.92548127131586, 11.913110873200019, 1168.1729645389846, -402.42499994394564]
5,[126.99978830703417, 16.255627883288646, 1481.7810576085596, -269.4999999456817]
6,[116.89889200894308, 15.883081197084769, 1459.2820983014217, -190.29978344238143]
7,[108.52029706969033, 17.094720073849285, 1620.2280460259199, -15.600070720809288]
8,[109.95937237348548, 17.599107100829894, 1681.2551545488104, 8.249998338598196]
9,[102.8782146947085, 16.213907229575238, 1573.2640945851886, 8.249570389223198]
10,[99.08553745547157, 15.434592012211116, 1515.6324540577423, 8.24999989317264]
11,[97.48519471949758, 15.345003795546067, 1491.4737194139916, 8.249598383930158]
12,[98.35926974916691, 15.397376712851827, 1504.7492834030618, 8.2499999953479]
13,[97.197167266183, 15.511912600278345, 1487.6109893480204, 8.249999999898945]
14,[98.31796841257822, 15.387637956856635, 1504.1177451498604, 8.249999995348738]
15,[99.12168120431814, 15.439765580888444, 1516.1797080197573, 8.249999915286566]
16,[96.8826344095324, 15.394840252349818, 1482.7317507304679, 8.249999999985297]
17,[93.96796979084496, 14.836794794847386, 1438.3736219865555, 8.249999999746068]
18,[88.79418754294335, 15.265132001861943, 1461.4658473623322, 69.49995731164124]
19,[86.6911021289961, 15.39417021955902, 1463.25050964882, 89.76437695634297]
20,[84.63262109127663, 16.585819630599403, 1503.1306926664336, 131.9997675281755]
21,[83.02023350215609, 16.26687681122494, 1478.575228647325, 131.9997556739653]
22,[82.85471518387031, 16.25457082237051, 1471.4634520462184, 129.1536628940052]
23,[81.39533491883813, 13.027636081544014, 1244.2458160683218, 5.938862859276984]
24,[80.19556935678183, 11.919384158294127, 1122.2868349769926, -57.00000072123904]
25,[78.1865938399743, 11.727822901759518, 1094.3958611407788, -55.49998964130163]
26,[74.54575107909575, 12.278976406716673, 1144.6741124305606, 8.249999999645043]
27,[72.55761645570067, 12.022090334583531, 1114.5308050969152, 8.249718343369814]
28,[78.1865938399743, 11.727822901759518, 1094.3958611407788, -55.49998964130163]
29,[72.55761645570067, 12.022090334583531, 1114.5308050969152, 8.249718343369814]
30,[74.54575107909575, 12.278976406716673, 1144.6741124305606, 8.249999999645043]
31,[71.7213946316677, 11.996965266492579, 1102.0261388149238, 8.249723877256104]
32,[65.37726580161602, 11.50911531490011, 1075.117784724278, 56.24999544844977]
33,[58.45331758579966, 10.85847430096394, 993.599202183761, 147.46147110647604]
34,[66.3351283728672, 8.164308189422187, 545.1859512292948, -87.21840548012237]
35,[68.16068870210127, 8.246155635984758, 313.46721902796145, -116.40274254149789]
36,[66.86223791376102, 8.200040333276993, 247.70211105011867, -12.028974639832539]
37,[65.79046501700653, 8.318506054238476, 129.87076683222057, 59.07091983801977]
38,[66.64533993063623, 8.801904256014431, -62.26504439735734, 80.82585007149058]
39,[64.1535935831496, 10.057474931596238, -225.42558840432824, 146.0180007283427]
40,[57.33821281987186, 11.48869282871384, 12.763472478782399, 492.20900032331673]
41,[66.4585045597793, 14.730643714508336, -530.5333202014077, 215.44475917546217]
42,[64.78746068020017, 15.100377126403576, -593.7759993513339, 321.41754189285336]
43,[65.83967430958593, 20.198627579049575, -742.1029703125911, 351.82690601667525]
44,[71.7234452375728, 23.065274306605506, -1139.2790510715104, 176.51029272507117]
45,[61.3391618777952, 23.226972572105733, -957.4251054117814, 505.94863017909535]
46,[59.20841974239042, 25.23782434200489, -1049.6626696658857, 579.3992232408565]
47,[68.01290282414826, 35.428515542358156, -1549.1524671907546, 292.69143049950424]
48,[63.61740916508952, 34.93624933189841, -1558.0092901795006, 430.6077203576158]
49,[65.4707689857515, 43.021138557950316, -1874.3586036762033, 310.5295214419672]
50,[67.45158175246527, 51.393790792446985, -2132.5351092168007, 205.28357087648882]
51,[66.35953809853108, 57.41894019456784, -2339.3383825814517, 164.2286901124362]
52,[71.24483900289044, 66.34615248066407, -2659.290118981785, -21.839822133934]
53,[64.1300071600748, 64.88431223863438, -2486.059630776886, 219.45146319877432]
54,[65.65330050175399, 65.6229817315777, -2590.882708303113, 191.6449912924552]
55,[58.91401061641983, 63.010222929916075, -2433.1280116709668, 399.83784857082856]
56,[69.8420812588351, 78.28354942652724, -2884.2507301026017, 31.82658690485632]
57,[64.25100482689835, 69.614342277861, -2558.747153283657, 318.59631013180166]
58,[62.30097285437135, 68.9634422263512, -2500.87695800337, 391.2355000451654]
59,[66.19840769401944, 70.29541253567794, -2607.0277088296148, 290.8028706286755]
60,[69.84252873513775, 68.29078320831381, -2570.7696571769175, 262.5061502248243]
61,[79.1372385537453, 76.65797067772063, -2807.089937309059, 8.326497064684958]
62,[79.81836334912268, 75.46983058807054, -2620.2114260728113, 87.65665464575753]
63,[81.84308510194367, 69.63626343443943, -2609.602913109623, 45.92234497092013]
64,[90.58989175193835, 71.1160466763957, -2795.083091370958, -194.3097798742334]
65,[88.13464101194464, 68.8296231422113, -2442.229705141273, -5.437123011141239]
66,[97.97441944563849, 69.53060365527443, -2659.9536020214005, -300.846359578425]
67,[82.45318726012026, 45.62643838922263, -1799.3754078104992, 317.95148414477313]
68,[93.77255445801174, 49.29042752649063, -2069.5282837761492, -47.89582526068251]
69,[98.11195301062168, 46.28234286118577, -2003.9620698626459, -130.436730035367]
70,[95.51321945992412, 41.46146364135577, -1640.211299411627, 21.908701796658633]
71,[84.03941175445158, 27.23375879149759, -906.923043531911, 489.2608441003487]
72,[93.60584113476693, 26.210068423661287, -1067.1885204846872, 196.1620529220006]
73,[97.98039292179968, 24.357252627379033, -1084.3308604465772, 35.19298368509202]
74,[90.8514091477844, 21.96764805235743, -479.9570119829494, 344.1604116561291]
75,[93.7848563922324, 16.411496430605425, -374.7196242011265, 255.2180030563938]
76,[97.41445988571114, 14.553714386378662, -349.7245776657197, 104.75039552012281]
77,[102.55380344160741, 11.50302589870989, -206.81217558246792, 5.749999974056117]
78,[109.695724337455, 12.091677572393076, -76.13628152466941, -128.9322702383861]
79,[106.79495262341894, 12.463931298412064, 189.17065391145175, -86.78773898494529]
80,[110.39059452699648, 9.552363281587882, 48.51975514715498, -351.14169434410087]
81,[109.81650821637216, 10.352365998696527, 296.66791234183887, -322.5205198407454]
82,[114.37179402149, 8.928412531779703, 150.63642849921553, -601.681160401842]
83,[111.56657024475237, 9.625294977392452, 497.839140376209, -498.75099631075676]
84,[126.75354198150433, 12.777428575028699, 937.0260895276315, -597.7511462908401]
85,[123.62217840464857, 12.483859844356118, 891.8929598201659, -597.7511216926207]
86,[127.25546795463367, 13.26058365554642, 1038.964300880268, -541.3523728649545]
87,[126.2205935839301, 13.169914049156892, 1023.3895245935047, -541.3523511330063]
88,[124.13338766563061, 17.31560129713166, 1350.9474675496683, -324.77800116850307]
89,[113.5024788066648, 16.330087983283125, 1506.7678610861108, -130.36900028719822]
90,[113.5544319960994, 18.152348945384933, 1733.3147520469315, 6.749553469922372]
91,[109.4139067725017, 17.44861505972525, 1672.8831140956327, 8.249999996252638]
92,[110.38897814582253, 17.56138637379561, 1687.6025635906353, 8.249999994838738]
93,[112.15135184727679, 18.08234880148834, 1714.7222687480455, 8.249999998975566]
94,[110.8240967308944, 17.74847466042515, 1694.388413497999, 8.249998515766023]
95,[112.32244531146773, 18.117611329461383, 1717.330201157536, 8.249999999010523]
96,[114.00480361681306, 18.090587137414147, 1740.7416576664043, 7.249999978035969]
