time,profit,losses,emissions,battery charging
1,[135.46150733452663, 9.770363080536494, 694.7269627136714, -824.9999987062614]
2,[135.06442039849028, 10.120855315438403, 689.367910160161, -825.0005981004091]
3,[125.22029914596139, 11.983881305243846, 1027.090865907886, -528.7199984169484]
4,[120.92549157510751, 11.9122184169475, 1168.1716681170724, -402.4249999401289]
5,[127.07311000581416, 16.268572514347944, 1482.8951593899267, -269.49999996888965]
6,[116.96554861260994, 15.894033107768326, 1460.2938838188434, -190.29977434232583]
7,[108.52030910128572, 17.093852207588874, 1620.2267965592732, -15.600070649542035]
8,[109.95938181207578, 17.598296074165987, 1681.2539465685477, 8.249998359976068]
9,[102.87824671410979, 16.213094858203192, 1573.2624003551932, 8.249570928060342]
10,[99.08554573066093, 15.433837667303477, 1515.6313140037319, 8.249999915511705]
11,[97.49808783111591, 15.345917614366387, 1491.6705409984258, 8.2495931015604]
12,[98.35927643322559, 15.396701924409358, 1504.7482866703112, 8.24999999532722]
13,[97.2108285367671, 15.512956199459136, 1487.8163445737478, 8.250000004019702]
14,[98.31797533981288, 15.38696265455903, 1504.1167511138076, 8.24999999532804]
15,[99.12168946790824, 15.439011252369644, 1516.1785677697833, 8.249999937531824]
16,[96.8960507439205, 15.395844123417755, 1482.9333899608534, 8.250000004096766]
17,[92.93034050505464, 15.416712587215356, 1482.345471082805, 44.24999983439844]
18,[89.53272860279671, 14.717255919176894, 1430.5567386883677, 44.2500745784717]
19,[88.82946909598242, 13.817663943679744, 1359.9767320711435, 8.24963532296674]
20,[87.95967558948973, 13.141698434289795, 1300.768203823038, -19.61560000193849]
21,[86.78721163471391, 13.228241025386813, 1283.4278921140867, -19.61567799116863]
22,[85.27477840595924, 13.449181759218316, 1306.4029666117915, 8.249652483012634]
23,[81.29265926031817, 13.167686853292643, 1253.3095701693562, 12.317549978309291]
24,[77.67520476883337, 12.349360789426104, 1191.441849476753, 8.2499999981945]
25,[75.80993267223694, 12.159399325376286, 1163.3260146518464, 8.249999999465071]
26,[74.81856933371334, 12.236373661727333, 1139.872127784614, 2.8355345920241266]
27,[72.89241609281366, 12.060011783012747, 1112.986455075236, 4.1365199976794]
28,[76.42381043654433, 12.297515737749093, 1163.903794818462, 2.8355499973058347]
29,[72.89241609281366, 12.060011783012747, 1112.986455075236, 4.1365199976794]
30,[75.19036888964708, 12.398096621855622, 1148.7874278243612, 4.7500009713955755]
31,[71.9206991615396, 12.018314576678574, 1105.0334474473557, 8.249720199230936]
32,[66.70136657452748, 11.093834862872002, 1016.184709190238, 8.250000001146667]
33,[62.91788451274254, 9.83485504156484, 834.2144861750372, 8.250000001146088]
34,[63.85988183578055, 8.839093638282892, 665.5813788640351, 8.249999275336123]
