time,solver,failed,BatteryUnit.battery1,BatteryUnit.battery2,BatteryUnit.battery3,BatteryUnit.battery4,BatteryUnit.battery5,RatioTapChanger.reg1a,RatioTapChanger.reg2a,RatioTapChanger.reg3a,RatioTapChanger.reg3c,RatioTapChanger.reg4a,RatioTapChanger.reg4c
1,0.18169962300453335,False,-125000.0,-200000.0,-100000.0,-150000.0,-250000.0,5,2,6,-3,3,1
2,0.1582894339953782,False,-125000.0,-200000.0,-100000.0,-150000.0,-250000.0,5,10,7,-11,7,9
3,0.1485565930051962,False,-125000.0,-2480.0,-1240.0,-150000.0,-250000.0,7,3,1,-12,3,3
4,0.1731286129943328,False,-125000.0,0.0,0.0,-150000.0,-130425.0,7,3,3,-12,6,1
5,0.1772501889936393,False,-125000.0,0.0,0.0,-150000.0,0.0,6,2,1,-11,8,6
6,0.13566943600017112,True,-125000.0,0.0,0.0,-150000.0,0.0,6,1,2,-11,8,3
7,0.15179633200750686,False,0.0,0.0,0.0,-22350.0,0.0,6,4,4,-12,9,9
8,0.174744814998121,False,0.0,0.0,0.0,0.0,0.0,6,9,6,-12,9,1
9,0.16878725599963218,False,0.0,0.0,0.0,0.0,0.0,6,1,6,-12,9,3
10,0.16300975499325432,False,0.0,0.0,0.0,0.0,0.0,6,1,5,-12,9,-1
11,0.17606272500415798,False,0.0,0.0,0.0,0.0,0.0,6,7,8,-12,9,3
12,0.15746206199401058,False,0.0,0.0,0.0,0.0,0.0,6,9,7,-11,9,0
13,0.1600650000036694,False,0.0,0.0,0.0,0.0,0.0,6,7,5,-11,9,7
14,0.16049561499676201,False,0.0,0.0,0.0,0.0,0.0,6,9,5,-11,9,0
15,0.16322305100038648,False,0.0,0.0,0.0,0.0,0.0,6,1,5,-12,9,-1
16,0.1651938249997329,False,0.0,0.0,0.0,0.0,0.0,6,7,5,-11,9,7
17,0.14613074700173456,False,0.0,0.0,0.0,0.0,0.0,6,4,5,-8,9,4
18,0.15743106599256862,True,44642.857142857145,0.0,0.0,0.0,0.0,6,-2,6,-12,9,3
19,0.15433011000277475,False,69147.28571428574,0.0,0.0,0.0,0.0,6,4,2,-9,9,2
20,0.15032245698967017,False,110356.87142857142,0.0,0.0,0.0,0.0,6,4,4,-11,9,5
21,0.14019676299358252,False,89285.71428571432,0.0,0.0,0.0,0.0,6,3,4,-8,9,5
22,0.1311546159995487,False,71428.57142857145,0.0,0.0,1153.6805,17857.142857142837,6,8,7,-11,9,8
23,0.14409411899396218,False,-125000.0,0.0,0.0,-811.132,6198.9285714285725,6,5,4,-13,8,1
24,0.15824047100613825,False,-125000.0,0.0,0.0,-0.000281736,21217.085714285713,6,10,10,-12,8,1
25,0.15167984100116882,False,-20589.1,0.0,0.0,0.0,-11700.028571428571,6,5,1,-12,8,2
26,0.15786327498790342,True,-0.048742,0.0,0.0,0.0,-20130.7,6,10,10,-11,8,2
27,0.15215015699504875,False,26785.71428571429,14285.714285714213,0.0,0.0,-0.0246172,6,10,9,-12,8,4
28,0.14725253099459223,False,-18832.6,-10044.0,0.0,0.0,0.0,6,7,10,-11,8,2
29,0.14437692299543414,False,0.0,-0.0321429,0.0,0.0,0.0,6,4,4,-12,8,3
30,0.1602959199954057,False,0.0,0.0,-5.5332532e-11,0.0,-1.2585665e-24,6,8,10,-12,8,6
31,0.14968713700363878,False,0.0,0.0,0.0,0.0,0.0,6,8,10,-12,8,3
32,0.1401210220064968,False,0.0,0.0,0.0,0.0,0.0,6,8,10,-9,8,2
33,0.1276466849958524,True,0.0,142857.14285714287,0.0,0.0,0.0,6,8,10,-12,6,6
34,0.13475429399113636,True,0.0,6860.0,0.0,0.0,-5.5372281e-08,6,9,10,-12,7,6
35,0.11029124099877663,True,0.0,69173.0,0.0,0.0,-5.5372281e-08,6,6,7,-12,7,6
36,0.12427992100128904,False,0.0,149443.14285714284,0.0,0.0,0.0,6,4,4,-11,7,6
37,0.13166059600189328,False,0.0,-25459.92857142858,45882.5,0.0,33111.9,6,1,1,-11,4,4
38,0.17559471000276972,False,0.0,145513.0,-32259.2,78847.6,-11991.7,7,-1,3,-13,3,0
39,0.17230701498920098,False,0.0,200000.0,100000.0,-55436.3,137388.0,7,0,1,-13,3,-3
40,0.17881130499881692,False,97119.4,0.0,52018.8,32142.85714285714,228117.0,6,3,4,-4,4,-7
41,0.17741022500558756,False,125000.0,200000.0,100000.0,21428.571428571428,0.0,6,2,1,-2,4,-5
42,0.18063317799533252,False,125000.0,181719.53,-58984.54092857143,97534.027,-60816.856428571424,6,9,1,7,4,-5
43,0.15759950599749573,True,-28143.811,200000.0,-58984.54092857143,64285.714285714304,35714.285714285696,6,9,2,8,6,-1
44,0.16553539600863587,False,125000.0,154459.08,-3.1769602e-11,145489.29,-45635.34092857142,6,2,1,2,3,-6
45,0.15229514701059088,False,-125000.0,178076.54,100000.0,85714.28571428571,-62090.464285714275,6,2,2,-1,4,-2
46,0.1847432359936647,False,-63148.37,200000.0,2534.1114,32142.85714285714,55919.293,6,3,1,1,3,-5
47,0.18366305899689905,False,122050.06,200000.0,-36630.44,134730.45,-26306.56,6,8,8,8,5,-5
48,0.1807606430083979,False,-123000.9,11688.262857142858,-44102.262,150000.0,234068.96,4,10,7,5,6,-2
49,0.18377865699585527,False,1.4443946e-10,1.5223808571428572e-11,100000.0,150000.0,119571.84,3,7,4,5,4,-4
50,0.16655150699079968,False,-78456.92,-3.7131253e-11,77859.329,-22860.553,187618.84,4,4,-3,5,2,-4
51,0.1921556919987779,False,0.0,0.0,-71202.658,150000.0,31680.679,3,5,6,10,7,-2
52,0.18329326099774335,False,0.0,0.0,-100000.0,150000.0,88203.914,3,5,9,9,6,-4
53,0.17866606698953547,False,80331.401,0.0,52702.23,150000.0,250000.0,2,1,10,6,9,0
54,0.15442956300103106,False,-7721.0189,-7.0853702e-26,-3360.5893571428533,150000.0,250000.0,3,2,1,5,6,4
55,0.15100368999992497,True,-44186.242,1.1071861142857142e-11,-3360.5893571428533,150000.0,250000.0,3,3,0,5,6,-3
56,0.16736330100684427,False,0.0,-1.3286233714285713e-10,46236.304,-116642.75,127585.86285714284,2,7,7,5,6,-4
57,0.16928537099738605,False,0.0,0.0,0.0,150000.0,250000.0,3,-2,7,5,6,3
58,0.17952393100131303,False,1.0832959e-10,8.303895857142856e-12,-67265.902,54596.80157142857,126755.82,3,7,7,6,5,-4
59,0.17457157699391246,False,0.0,0.0,0.0,0.0200372,250000.0,3,1,7,6,6,3
60,0.17732685100054368,False,-4572.3213,-197913.39,-3.5271344e-26,2.896676e-27,-60460.956,3,3,-2,-2,0,0
61,0.18893080099951476,False,1.3526729e-10,200000.0,100000.0,-32893.753,1453.5426,3,10,0,1,4,0
62,0.1727326889958931,False,125000.0,81493.9,5.0831364e-11,46785.075142857146,31919.845,3,4,0,4,2,-9
63,0.1766583620046731,False,-87885.281,0.03616458285714286,-10143.991,-81267.458,60343.906,3,6,5,9,2,-4
64,0.17406868599937297,False,2.5276905e-10,1.245584357142857e-11,-60164.234,115587.05857142857,47458.658,4,1,4,5,1,-4
65,0.17500822599686217,False,0.0,0.0,0.0,0.05055060857142857,87745.7,4,4,7,11,3,0
66,0.17358977200638037,False,125000.0,2.2143722857142856e-11,0.0,0.30330376,0.0008188602142857143,4,4,0,2,0,-5
67,0.17667669399816077,False,57279.053,9.201779285714286e-28,0.0,-49951.304,-175938.39,4,-1,-2,6,3,-4
68,0.17665848700562492,False,-40909.865,1.1071861428571428e-11,27738.794,71046.174,250000.0,4,5,7,5,6,-5
69,0.1704536009929143,False,2.7311314e-24,1.3332470714285713e-11,-19502.654,1.3220853571428571e-05,-49205.486,4,-1,-2,5,6,4
70,0.16224945300200488,False,1.2027001e-24,-5.1529965e-26,1.9061761e-11,0.0001719730357142857,-82623.723,4,2,-1,8,3,1
71,0.17528543500520755,False,-62400.182,7.956697142857143e-12,64276.176857142855,-130940.86,32400.086,4,-4,2,-1,4,-3
72,0.18547651999688242,False,1.0832959e-10,4.151947928571428e-12,38662.09428571429,150000.0,-55642.205,5,2,0,-10,3,-5
73,0.1420740399917122,True,109809.85285714286,-4.096842657142857e-11,100000.0,-12504.746,-55642.205,5,1,3,-7,4,-8
74,0.18060093800886534,False,1.4443946e-10,2.7679652857142856e-12,7142.857142857166,0.0,-172529.54,5,6,2,-10,5,-4
75,0.18994830800511409,False,-76408.601,0.0,5446.0366,54023.902357142855,-131893.1,5,4,8,-10,5,-5
76,0.15737346198875457,True,125000.0,0.0,0.0,0.03083120657142857,-131893.1,5,-1,-1,-9,6,0
77,0.16588567099825013,False,0.0,0.0,85209.5,-23299.0,121968.0,6,0,3,-11,4,-3
78,0.18882305300212465,False,0.0,-18464.6,-9554.76,-148912.0,60435.9,5,4,7,-3,6,0
79,0.1866817970003467,False,-76530.4,-200000.0,-85714.28571428571,0.0,208278.0,4,12,11,5,8,0
80,0.1676256659993669,False,0.0,135527.0,-100000.0,-94012.257,-250000.0,4,3,2,-3,7,-2
81,0.18259940500138327,False,-36998.8,-146400.41428571427,-16173.6,-71041.4,-161323.0,4,3,4,-6,6,0
82,0.18785464199027047,False,0.0,-114285.71428571429,0.0,-149732.0,-216784.4357142857,2,11,12,-7,8,3
83,0.1653230720112333,False,0.0,-114285.71428571429,0.0,-150000.0,-250000.0,3,6,7,-4,8,0
