time,solver,failed,BatteryUnit.battery1,BatteryUnit.battery2,BatteryUnit.battery3,BatteryUnit.battery4,BatteryUnit.battery5,RatioTapChanger.reg1a,RatioTapChanger.reg2a,RatioTapChanger.reg3a,RatioTapChanger.reg3c,RatioTapChanger.reg4a,RatioTapChanger.reg4c
1,0.8012869139929535,False,-125000.0,-200000.0,-100000.0,-150000.0,-250000.0,5,2,5,0,5,1
2,2.019398621006985,False,-125000.0,-200000.0,-100000.0,-150000.0,-250000.0,5,8,7,6,7,7
3,0.05991572799393907,False,-125000.0,-2480.0,-1240.0,-150000.0,-250000.0,7,7,5,8,5,8
4,1.7420899650023784,False,-125000.0,0.0,0.0,-150000.0,-130425.0,7,3,3,2,6,2
5,1.6010009269957663,False,-125000.0,0.0,0.0,-150000.0,0.0,6,2,1,8,8,6
6,0.9884750930068549,False,-45800.0,0.0,0.0,-150000.0,0.0,6,1,2,8,8,2
7,1.3858325800101738,False,0.0,0.0,0.0,-22350.0,0.0,6,4,4,2,9,8
8,3.2869270960072754,False,0.0,0.0,0.0,0.0,0.0,6,9,6,0,9,2
9,0.7490978870046092,False,0.0,0.0,0.0,0.0,0.0,6,3,6,2,9,3
10,1.210049767003511,False,0.0,0.0,0.0,0.0,0.0,6,1,5,2,9,-1
11,4.880416549000074,False,0.0,0.0,0.0,0.0,0.0,6,7,7,4,9,3
12,0.6544079039886128,False,0.0,0.0,0.0,0.0,0.0,6,9,8,2,9,1
13,1.2896370480011683,False,0.0,0.0,0.0,0.0,0.0,6,7,5,4,9,7
14,1.7802539760014042,False,0.0,0.0,0.0,0.0,0.0,6,9,5,2,9,1
15,0.6593515299900901,False,0.0,0.0,0.0,0.0,0.0,6,3,5,2,9,-1
16,1.2822695780050708,False,0.0,0.0,0.0,0.0,0.0,6,7,5,4,9,5
17,0.4075696570071159,False,0.0,0.0,0.0,37500.0,0.0,6,5,5,6,9,5
18,0.866523867007345,False,0.0,0.0,0.0,37500.0,0.0,6,-1,6,4,9,3
19,1.3120236289978493,False,0.0,0.0,0.0,0.0,0.0,6,-2,5,2,8,2
20,0.8727020480000647,False,0.0,0.0,0.0,-26365.6,0.0,7,2,4,6,4,3
21,1.9938591190002626,False,0.0,0.0,0.0,-26365.6,0.0,6,4,4,1,8,4
22,4.71948937101115,False,0.0,0.0,0.0,0.0,0.0,6,6,9,3,8,3
