time,solver,failed,BatteryUnit.battery1,BatteryUnit.battery2,BatteryUnit.battery3,BatteryUnit.battery4,BatteryUnit.battery5,RatioTapChanger.reg1a,RatioTapChanger.reg2a,RatioTapChanger.reg3a,RatioTapChanger.reg3c,RatioTapChanger.reg4a,RatioTapChanger.reg4c
1,0.08496207800089906,False,-125000.0,-100000.0,-100000.0,-150000.0,-250000.0,4,2,5,-3,5,1
2,0.08989209799983655,False,-125000.0,-100000.0,-100000.0,-150000.0,-250000.0,5,7,10,-9,7,7
3,0.05223413500061724,True,-125000.0,0.0,-100000.0,-150000.0,-250000.0,7,7,5,-11,5,6
4,0.06886961400050495,True,-125000.0,0.0,-100000.0,-150000.0,-250000.0,6,8,8,-9,5,3
5,0.07294435400035582,False,-125000.0,-100000.0,0.0,-150000.0,0.0,6,5,5,-11,7,1
6,0.0803784910003742,False,-45800.0,-26860.0,0.0,-150000.0,0.0,6,3,3,-11,7,1
7,0.08676529200056393,False,0.0,-75620.0,0.0,-22350.0,0.0,6,8,3,-11,8,2
8,0.08465056200111576,False,0.0,0.0,0.0,0.0,0.0,6,9,6,-12,9,1
9,0.0684872149995499,True,93750.0,0.0,0.0,0.0,0.0,6,9,6,-12,9,2
10,0.07500653999886708,False,125000.0,50000.0,0.0,0.0,0.0,6,7,8,-12,9,2
11,0.06366690200047742,False,125000.0,82422.95000000001,0.0,0.0,0.0,6,2,6,-12,9,0
12,0.06933742799992615,False,62500.0,126723.95000000003,0.0,0.0,-2.2150435e-11,6,1,3,-11,9,0
13,0.07139880700015055,False,125000.0,104449.5,-2.7666266e-11,0.0,0.0,6,5,1,-12,9,1
14,0.07583873700059485,False,125000.0,100000.0,0.0,0.0,0.0,6,10,5,-11,9,2
15,0.07240577699849382,False,125000.0,100000.0,0.0,0.0,0.0,6,6,7,-11,9,2
16,0.065711151000869,False,62500.0,200000.0,-2.7666266e-11,0.0,0.0,6,7,9,-12,9,2
17,0.07057725400045456,False,125000.0,200000.0,0.0,0.0,0.0,6,7,7,-12,9,0
18,0.0710936399991624,False,125000.0,200000.0,0.0,37500.0,0.0,6,6,11,-11,9,2
19,0.0662519159996009,False,-125000.0,100000.0,0.0,17725.800000000003,0.0,6,3,5,-11,8,1
20,0.07344703099988692,False,-62500.0,100000.0,0.0,8378.774999999994,0.0,6,9,3,-11,8,1
21,0.08153873400078737,False,-125000.0,-100000.0,0.0,-40224.5,0.0,7,3,3,-12,4,1
22,0.08431176399972173,False,-125000.0,-100000.0,0.0,-4494.75,0.0,6,3,3,-11,7,1
23,0.07836855000095966,False,-125000.0,0.0,0.0,0.0,0.0,6,2,1,-11,7,2
24,0.07526507600050536,False,-125000.0,0.0,0.0,0.0,0.0,6,6,7,-11,7,2
25,0.07131799600028899,False,-81496.2,0.0,0.0,0.0,0.0,6,0,1,-11,7,2
26,0.08461826100028702,False,-0.0109376,0.0,0.0,0.0,0.0,6,6,7,-11,7,2
27,0.07694027199977427,False,0.0,0.0,0.0,0.0,0.0,6,4,3,-12,7,3
28,0.07866105900029652,False,0.0,0.0,0.0,0.0,0.0,6,4,4,-10,7,3
29,0.07663265900009719,False,0.0,0.0,0.0,0.0,0.0,6,4,3,-12,7,3
30,0.07729891799863253,False,0.0,0.0,0.0,0.0,0.0,6,4,4,-10,7,3
31,0.07933281099940359,False,0.0,0.0,0.0,0.0,0.0,6,4,4,-12,7,3
32,0.08377076500073599,False,0.0,0.0,0.0,0.0,0.0,6,9,9,-12,7,5
33,0.07564528500006418,False,31250.0,0.0,0.0,0.0,0.0,6,9,9,-12,7,3
34,0.0576759960003983,False,88257.17499999999,0.0,0.0,0.0,0.0,6,7,8,-11,5,2
35,0.07654623800044646,False,-31767.549999999996,-200000.0,0.0,37500.0,0.0,6,8,8,-12,6,2
36,0.07243380100044305,False,0.0,-100000.0,32964.3,37500.0,0.0,6,3,8,-11,6,1
37,0.0711619649991917,False,31250.0,0.0,-7954.6,0.0,0.0,7,0,4,-13,4,0
38,0.07839006999893172,False,0.0,-103138.0,13583.5,6604.8859,148470.0,7,1,2,-11,5,1
39,0.08600848300011421,False,125000.0,200000.0,33283.15,-5531.175000000003,103282.0,5,7,1,-13,7,0
40,0.07812248899972474,False,125000.0,86413.7,0.0,150000.0,165842.0,6,1,1,-12,4,-1
41,0.0820163139997021,False,125000.0,200000.0,0.0,0.0,168378.1125,7,2,1,-13,6,-3
42,0.07908444700115069,False,125000.0,200000.0,-48173.124,150000.0,-77329.473,6,4,0,-12,4,-5
43,0.08420179200038547,False,125000.0,200000.0,0.0,75000.0,-78182.8925,6,6,6,-12,5,-4
44,0.06762191400048323,True,124999.99999999999,200000.0,0.0,118057.10800000001,111955.89,6,6,6,-12,6,2
45,0.07933237500037649,False,125000.0,200000.0,0.0,-1.9481234e-11,92738.86500000002,5,4,3,-12,6,-4
46,0.0684005299990531,True,125000.0,200000.0,0.0,-46587.957,92738.86500000002,5,2,1,-12,6,-3
47,0.07124033699983556,False,-94170.045,11416.141,0.0,150000.0,105989.15,4,4,2,-10,6,-5
48,0.0818831130000035,False,-1.0022501e-25,0.000382110845,45737.464,150000.0,96452.94475,4,4,8,-10,6,-6
49,0.07888971800093714,False,-94698.497,0.0,100000.0,150000.0,55234.958,3,2,2,-9,4,-6
50,0.08796194199931051,False,-99984.866,-3.7131253e-11,-96760.177,150000.0,227996.04,4,8,3,-9,4,-4
51,0.0838208940003824,False,0.0,1.9375757e-11,-8.8954886e-11,141507.74,250000.0,3,7,4,-9,3,-5
52,0.07769052500043472,False,125000.0,0.0,100000.0,150000.0,250000.0,3,5,-2,-9,3,-2
53,0.08441157299967017,False,-2.8887891e-10,0.0,7.9424006e-11,75105.774,-41651.915,2,4,2,-8,4,0
54,0.07822023599874228,False,-125000.0,0.0,-52876.126,150000.0,237653.69,3,4,0,-9,3,-2
55,0.0757743379999738,False,3.6109864e-11,6.781515e-11,-23137.346,52502.176,244491.35,3,2,0,-7,3,-2
56,0.08519635999982711,False,-125000.0,0.0,-9.8473425e-05,-1.1106401249999999e-10,-37501.639999999985,3,7,6,-5,3,2
57,0.0741837530003977,False,-125000.0,0.0,0.0,-1.3683660000000002e-10,-173159.96,3,7,5,-6,1,-2
58,0.07703629999923578,False,-125000.0,0.0,27018.586,-8580.8197,-116737.205,3,1,2,-4,2,2
59,0.08838088499942387,False,3.6109864e-11,0.0,-1.2707841e-10,-79653.411,199797.59,3,7,7,-7,4,-4
60,0.08168549299989536,False,0.0,0.0,0.0,125496.0,250000.0,3,2,7,-6,6,-5
61,0.06487106599888648,True,0.0,8.051557e-27,-7.0542688e-26,125496.0,250000.0,3,8,7,-5,7,0
62,0.08171204700011003,False,-3.6109864e-11,0.0,-18996.288,-4.8999924e-11,46778.111,3,6,3,-5,1,-2
63,0.07849859700036177,False,5.0112503e-26,-1.7230332e-24,-1.7635672e-26,-25371.989,152763.0,3,4,0,-5,2,-1
64,0.07687542699932237,False,125000.0,-5.1529965e-26,-2.6453508e-26,36086.80025,-28948.037,3,1,1,-3,-1,-1
65,0.08316917600132001,False,-78856.581,0.0,100000.0,-42781.964,-1.1829036e-10,4,1,4,-8,0,-3
66,0.07199144399965007,False,-53046.905,1.9375757e-11,-12082.818,60849.17,-1.1829036e-10,3,1,0,-7,1,-1
67,0.0708636099989235,False,125000.0,1.9375757e-11,-58225.407,0.0,100.71703,4,-5,-1,-9,0,-7
68,0.08600284499880217,False,69196.508,0.0,-1.9061761e-10,-9.7999848e-11,-46335.105,5,1,2,-9,3,-3
69,0.08269384000050195,True,0.0,0.0,0.0,0.0,-46335.105,4,0,3,-9,4,-4
70,0.07958920999953989,False,-125000.0,9.28281325e-12,-5.7185284e-11,-1.29574685e-10,89870.773,4,5,5,-9,4,-3
71,0.08033133599928988,False,-43859.18,-1.932373725e-26,100000.0,0.0,44440.034,6,2,5,-12,1,-2
72,0.07930570499956957,False,1.0832959e-10,1.9375757e-11,100000.0,-25106.41,38567.5,5,0,4,-10,2,-1
73,0.08036528399861709,False,125000.0,4.12239725e-25,106.09946,-48506.259,0.01171590525,5,-2,0,-10,6,0
74,0.08762796700102626,False,-87885.281,0.0,47335.59625,0.0,-72492.964,6,-1,1,-11,1,-3
75,0.08166585099934309,False,0.0,0.0,100000.0,0.0,103107.37,6,0,1,-11,3,-1
76,0.08358357200086175,False,0.0,9.6878785e-12,86003.005,0.0,0.00082102,6,0,1,-11,2,-1
77,0.0811980329999642,False,0.0,0.0,100000.0,0.0,0.000615742625,7,4,0,-12,2,-1
78,0.08688076500038733,False,50899.5,0.0,-26349.54,-5621.565000000002,0.0018472269,6,4,6,-11,5,-3
79,0.08105291900028533,False,4410.125,4.64140675e-12,64731.1,-27176.789999999994,-123396.0,7,0,7,-12,4,-5
80,0.0903905279992614,False,2084.600000000006,-130544.0,0.0,0.0,-137594.0,7,2,7,-12,4,1
81,0.08521226099946944,False,985.3249999999971,-108922.0,-100000.0,-64707.1,-171556.0,7,8,7,-12,5,2
82,0.0777209709995077,False,-41045.6,-200000.0,-47691.2,-47881.5,-132440.69,7,8,3,-11,5,2
83,0.07439177200103586,False,-0.0257074,-200000.0,-100000.0,-75000.0,-250000.0,7,2,1,-11,5,1
84,0.08578771300017252,False,0.0,-100000.0,-100000.0,-150000.0,-250000.0,6,3,3,-10,6,4
85,0.07949242100039555,False,0.0,-100000.0,-46526.0,-150000.0,-250000.0,7,3,5,-11,5,1
86,0.07757349300118221,True,0.0,-100000.0,-46526.0,-150000.0,-250000.0,7,7,3,-11,5,5
87,0.08204548300091119,False,0.0,-100000.0,0.0,-150000.0,-195863.0,6,3,9,-10,6,1
88,0.07366567899953225,False,0.0,-100000.0,0.0,-150000.0,-0.31,6,-1,3,-12,8,0
89,0.08171376800055441,False,0.0,0.0,0.0,-129900.0,0.0,6,-1,1,-10,8,6
90,0.07970329300042067,False,0.0,-100000.0,0.0,-0.376,0.0,7,2,4,-11,4,0
91,0.07935787799942773,False,0.0,-76910.5,0.0,0.0,0.0,7,8,4,-11,7,3
92,0.07760738000069978,False,0.0,-92303.5,0.0,0.0,0.0,7,4,4,-11,7,3
93,0.07585446200027945,False,0.0,0.0,0.0,0.0,0.0,6,0,5,-11,9,3
94,0.08572903399908682,False,0.0,0.0,0.0,0.0,0.0,6,5,9,-12,9,2
95,0.07290132399975846,False,0.0,0.0,0.0,0.0,0.0,6,7,9,-11,9,3
96,0.07690771600027801,False,0.0,0.0,-5.5332532e-11,0.0,0.0,7,1,5,-11,5,1
